Course ID,Discipline,Key,Course Name,Institute,Duration,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,Click here to Join the course, , , , 
noc26-cs116,Computer Science and Engineering,CS,Foundations and Applications of Machine Learning (Bengali),IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs116,,,,
noc26-cs117,Computer Science and Engineering,CS,Data Base Management System,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs117,,,,
noc26-cs118,Computer Science and Engineering,CS,Artificial Intelligence for Economics,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs118,,,,
noc26-cs119,Computer Science and Engineering,CS,Introduction to Machine Learning - IITKGP,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs119,,,,
noc26-cs120,Computer Science and Engineering,CS,Hardware Modeling using Verilog,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs120,,,,
noc26-cs121,computer Science and Engineering,CS,Machine Learning for Earth System Sciences,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs121,,,,
noc26-cs122,Computer Science and Engineering,CS,Scalable Data Science,IIT Kharagpur,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 19, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs122,,,,
noc26-cs123,Computer Science and Engineering,CS,Introduction to Operating Systems,IIT Madras,8 Weeks,"Jul 20, 2026","Sep 11, 2026","Sep 20, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs123,,,,
noc26-cs124,Computer Science and Engineering,CS,Stochastic Approximation: Theory and Applications,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 25, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs124,,,,
noc26-cs125,Computer Science and Engineering,CS,Discrete Mathematics - IIITB,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs125,,,,
noc26-cs126,Computer Science and Engineering,CS,Secure Computation: Part II,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs126,,,,
noc26-cs127,Computer Science and Engineering,CS,Linear Algebra Through Geometry,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs127,,,,
noc26-cs128,Computer Science and Engineering,CS,Mathematical Foundations for Machine Learning,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs128,,,,
noc26-cs129,Computer Science and Engineering,CS,Artificial Intelligence: Concepts and Techniques,IISc Bangalore,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 24, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs129,,,,
noc26-cs131,Computer Science and Engineering,CS,Software Testing,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 16, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs131,,,,
noc26-cs132,Computer Science and Engineering,CS,Artificial Intelligence: Search Methods for Problem solving,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 17, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs132,,,,
noc26-cs133,Computer Science and Engineering,CS,Introduction to Machine Learning,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 18, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs133,,,,
noc26-cs134,Computer Science and Engineering,CS,Reinforcement Learning,IIT Madras,12 Weeks,"Jul 20, 2026","Oct 9, 2026","Oct 23, 2026","Jul 27, 2026","Aug 14, 2026",https://onlinecourses.nptel.ac.in/e-learning/preview/noc26_cs134,,,,
